"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
SOP,1983,27,2557,128,2828,1706,,individual
NOP,1983,29,2092,75,3,348,,regional;individual
CHG,1983,5,1824,62,321,159,,local
KOD,1983,4,1232,158,4603,1085,,local;individual
SSE,1983,93,935,811,31462,512,,local;individual;regional
COP,1983,53,627,237,8,2,,regional;local
NSE,1983,194,469,1018,6058,645,,regional;individual
BER,1983,1,180,118,1,5,,local;individual
YAK,1983,5,153,101,26,11,,local;individual;regional
PWS,1983,1,102,10,13972,1042,,individual
KSK,1983,81,89,199,0,295,,regional
ALU,1983,0,6,0,3,10,,regional;local
YUK,1983,106,0,13,0,966,,local;individual;regional
NRS,1983,10,0,50,76,319,,individual
KTZ,1983,0,0,0,0,176,,regional;individual;local
BRB,1982,253,15103,620,1492,1239,,regional;individual
CKI,1982,22,3391,841,1342,1632,,local
SOP,1982,10,2346,256,6778,2272,,individual;regional;local
CHG,1982,5,1522,303,873,390,,local
NOP,1982,30,1435,238,12,331,,regional;individual
KOD,1982,1,1204,345,8090,1263,,regional;local
COP,1982,47,1178,455,34,3,,regional;local
PWS,1982,0,1055,30,20368,1334,,local;regional;individual
SSE,1982,106,839,800,12956,814,,individual;regional
NSE,1982,174,440,1071,11254,511,,local
YAK,1982,20,213,237,12,6,,individual;local;regional
BER,1982,0,130,145,0,0,,local
KSK,1982,78,96,570,18,323,,regional;local
ALU,1982,0,3,0,1405,6,,local
YUK,1982,124,0,37,0,686,,regional;local
NRS,1982,6,0,92,225,183,,local;regional
KTZ,1982,0,0,0,0,416,,individual
BRB,1981,237,25603,314,7,2182,,regional
SOP,1981,11,2242,162,5033,1768,,local
NOP,1981,19,1857,155,14,709,,regional;individual
CHG,1981,3,1839,79,1163,580,,regional;individual
CKI,1981,13,1550,495,3406,1170,,individual;local;regional
KOD,1981,1,1289,122,10337,1345,,regional;local;individual
SSE,1981,88,713,607,13525,343,,regional
COP,1981,20,478,310,24,2,,individual;regional
PWS,1981,0,251,4,20524,1879,,regional;individual;local
NSE,1981,167,210,586,5376,483,,regional
YAK,1981,17,149,166,138,11,,individual
KSK,1981,79,106,278,0,483,,regional;local;individual
BER,1981,0,56,83,10,8,,regional;local;individual
ALU,1981,0,5,0,303,7,,individual;regional
YUK,1981,158,0,24,0,1473,,individual;local;regional
NRS,1981,8,0,31,230,170,,individual;regional;local
KTZ,1981,0,0,0,0,677,,local
BRB,1980,95,22373,348,2565,1650,,local
SOP,1980,5,3613,274,7861,1353,,local;individual
NOP,1980,18,2786,128,302,717,,regional
CKI,1980,14,1643,286,2676,463,,regional
CHG,1980,2,860,120,1093,253,,regional;individual
SSE,1980,84,739,529,12924,833,,local
KOD,1980,1,651,139,17291,1076,,regional;local
NSE,1980,207,210,450,1432,789,,local;regional;individual
PWS,1980,0,190,3,14157,482,,local;individual
YAK,1980,31,160,137,144,20,,individual;local;regional
KSK,1980,49,43,328,30,559,,regional;individual;local
COP,1980,8,19,225,4,0,,regional;local;individual
ALU,1980,0,9,0,2597,5,,individual;regional
BER,1980,0,0,109,0,0,,local
YUK,1980,154,0,9,0,1222,,regional;local;individual
NRS,1980,6,0,30,227,181,,individual
KTZ,1980,0,0,0,2,366,,individual
BRB,1979,208,20737,74,4,941,,local;individual;regional
NOP,1979,17,1979,113,5,66,,regional
SOP,1979,2,1150,357,6565,483,,regional;local
CHG,1979,1,1049,99,1905,189,,regional;individual;local
CKI,1979,15,989,285,3052,873,,local;regional
KSK,1979,8,705,406,1,182,,local;individual
KOD,1979,2,631,141,11286,358,,local;individual;regional
SSE,1979,127,552,547,6990,330,,individual
NSE,1979,217,356,615,3832,550,,regional;local
YAK,1979,24,165,123,154,8,,regional;individual;local
PWS,1979,2,150,7,15630,326,,local;regional;individual
BER,1979,0,139,114,7,23,,local
COP,1979,18,81,195,1,0,,local;individual
ALU,1979,0,12,0,539,0,,individual;regional
YUK,1979,128,0,17,0,1139,,individual
NRS,1979,11,0,31,165,138,,individual
KTZ,1979,0,0,0,1,142,,local;regional;individual
BRB,1978,192,9928,94,5160,1270,,local
CKI,1978,19,2778,226,2041,645,,local
CHG,1978,2,1576,20,985,121,,regional;local
KOD,1978,3,1072,49,15004,814,,local;regional
NOP,1978,14,897,62,485,164,,regional;individual
SOP,1978,1,577,56,5344,515,,regional;individual;local
SSE,1978,96,455,697,18425,649,,local
COP,1978,29,250,220,4,2,,individual;local
PWS,1978,1,222,1,2914,485,,regional;local;individual
NSE,1978,264,202,810,2782,213,,local;regional;individual
YAK,1978,41,131,209,36,7,,local;regional;individual
BER,1978,0,34,91,0,2,,individual;local
KSK,1978,64,16,252,309,313,,regional;individual;local
ALU,1978,0,2,0,38,0,,local
YUK,1978,99,0,26,0,1286,,local;regional;individual
NRS,1978,10,0,7,326,189,,regional;individual
KTZ,1978,0,0,0,7,112,,regional;individual;local
BRB,1977,131,4878,107,5,1791,,individual;local;regional
CKI,1977,15,2154,196,1846,1380,,local;regional
CHG,1977,1,1972,17,618,113,,individual
SSE,1977,61,650,299,11298,425,,regional;local
KOD,1977,1,623,28,6252,1072,,regional;local
COP,1977,22,619,131,23,0,,local
NOP,1977,5,472,34,1,129,,regional
SOP,1977,1,312,2,1436,241,,regional;local
PWS,1977,1,310,1,4512,573,,regional;individual;local
NSE,1977,185,254,519,2528,302,,individual
YAK,1977,38,186,100,78,9,,local;individual
KSK,1977,59,20,264,1,299,,regional
BER,1977,0,14,47,0,0,,regional
YUK,1977,96,0,39,0,792,,individual;local;regional
NRS,1977,5,0,4,49,200,,regional;individual
KTZ,1977,0,0,0,0,193,,regional;individual;local
ALU,1977,0,0,0,0,0,,individual;regional;local
BRB,1976,96,5617,27,1037,1489,,regional;individual
CKI,1976,11,1722,212,1393,521,,individual;local
CHG,1976,2,1164,35,395,81,,regional
COP,1976,31,865,112,3,0,,regional;local;individual
KOD,1976,1,641,24,11078,740,,local;individual;regional
NOP,1976,5,641,26,1,74,,regional;individual
SOP,1976,2,375,0,2367,533,,individual;local;regional
SSE,1976,104,256,295,5162,509,,local;regional;individual
NSE,1976,130,207,476,144,514,,individual;local;regional
