"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
BRB,1901,106,10221,4,231,0,,regional;local
KOD,1901,4,4826,0,2,0,,regional
CHG,1901,0,907,7,40,0,,individual;local
PWS,1901,7,781,0,314,0,,individual
NSE,1901,9,711,66,1120,0,,local;regional
CKI,1901,34,482,9,6,0,,local;regional;individual
GSE,1901,6,389,109,5356,0,,regional;individual;local
SSE,1901,3,264,107,1049,0,,individual
BER,1901,0,0,0,0,0,,individual
BRB,1900,58,8547,0,8,0,,individual;local;regional
KOD,1900,5,3450,32,0,0,,local;regional;individual
CHG,1900,0,1047,2,52,1,,individual
NSE,1900,11,1024,38,68,0,,regional;individual
SSE,1900,0,763,84,2040,2,,individual
PWS,1900,3,748,88,51,0,Includes Copper River catches; coho catch porbably mostly pinks,local;regional;individual
CKI,1900,27,585,20,0,0,,local
GSE,1900,6,262,176,2214,31,,local;individual
BER,1900,0,106,0,0,0,,local
BRB,1899,38,5113,100,17,0,,regional
KOD,1899,1,1935,32,0,0,,local;individual
CHG,1899,0,904,13,18,0,,individual;regional
SSE,1899,12,797,139,1545,1,,individual;local
CKI,1899,17,559,55,0,0,,individual
PWS,1899,5,527,0,213,0,Includes Copper River catches,individual
NSE,1899,13,485,4,0,0,,regional
GSE,1899,12,269,138,1367,7,,local
BER,1899,0,27,0,0,0,,regional
BRB,1898,19,4928,56,60,0,,local
KOD,1898,0,2033,19,0,0,,regional;individual;local
CHG,1898,0,1165,1,0,1,Pink catch includes some chums,regional
SSE,1898,9,708,132,673,0,,local
CKI,1898,16,551,83,0,0,,individual;regional
PWS,1898,2,417,0,375,0,Includes Copper River catches,regional;local;individual
NSE,1898,0,337,37,0,0,,regional
GSE,1898,8,192,123,889,28,,individual
BER,1898,0,39,0,0,0,,individual;regional;local
BRB,1897,20,3318,150,35,0,,regional;local;individual
KOD,1897,0,2786,2,0,0,,regional;individual
SSE,1897,5,791,161,2218,7,,local;individual
CHG,1897,0,765,11,6,0,,regional;individual;local
PWS,1897,2,371,26,302,0,Includes Copper River catches; coho catch porbably mostly pinks,local
CKI,1897,14,355,28,0,0,,local;individual
NSE,1897,15,338,12,0,0,,regional;local;individual
BER,1897,0,39,0,0,0,,regional;local;individual
GSE,1897,6,0,95,1155,0,,local;individual
KOD,1896,0,3329,0,0,0,,regional;local;individual
BRB,1896,17,2100,245,0,0,,regional;individual;local
SSE,1896,4,989,192,996,0,,local;regional;individual
CHG,1896,3,850,57,0,0,,regional;individual
PWS,1896,1,715,32,308,0,Includes Copper River catches; coho catch porbably mostly pinks,regional;individual
NSE,1896,11,469,9,0,0,,regional
CKI,1896,18,310,28,38,0,,individual;local
GSE,1896,4,114,40,634,3,,local;individual;regional
BER,1896,0,24,0,0,0,,regional
KOD,1895,0,2247,8,0,0,,regional
BRB,1895,20,1472,28,0,0,,regional;individual;local
CHG,1895,0,683,0,0,0,,individual
PWS,1895,10,508,143,0,0,Includes Copper River catches; coho catch porbably mostly pinks,regional;local;individual
SSE,1895,3,408,8,606,0,,regional;local;individual
NSE,1895,9,337,11,0,0,,regional;local;individual
CKI,1895,25,324,0,0,0,,individual;regional
GSE,1895,0,148,590,0,0,,local;individual;regional
KOD,1894,0,3830,0,0,0,,individual;regional;local
BRB,1894,11,1235,47,0,0,,local;individual;regional
PWS,1894,8,710,17,0,0,Includes Copper River catches; coho catch porbably mostly pinks,regional
CHG,1894,0,600,0,0,0,,local;regional
CKI,1894,16,407,19,0,0,,regional;individual;local
NSE,1894,7,349,11,0,0,,local;individual
SSE,1894,0,253,5,529,0,,regional
GSE,1894,6,117,331,0,0,,regional;local;individual
KOD,1893,0,3245,0,0,0,,regional
BRB,1893,44,940,74,0,0,,regional;individual;local
PWS,1893,9,793,72,0,0,Includes Copper River catches; coho catch porbably mostly pinks,individual
CHG,1893,0,600,64,0,0,,local;individual;regional
NSE,1893,0,428,0,0,0,,individual
SSE,1893,0,189,1,187,0,,regional;local;individual
CKI,1893,30,170,34,0,0,,regional
GSE,1893,6,127,256,0,0,,individual
KOD,1892,0,3126,0,0,0,,local;regional
NSE,1892,0,578,5,0,0,,local;individual;regional
CHG,1892,0,522,0,0,0,,individual
SSE,1892,0,207,11,8,0,,local
GSE,1892,0,0,0,0,0,,individual
PWS,1892,0,0,0,0,0,No fishery,individual;regional;local
BRB,1892,0,0,0,0,0,Estimated from canned production,local;individual;regional
KOD,1891,0,3846,0,0,0,,regional
CHG,1891,0,775,0,0,0,,regional;local;individual
PWS,1891,6,711,0,0,0,Includes Copper River catches,individual
NSE,1891,0,670,0,0,0,,individual
SSE,1891,0,274,24,0,0,,local
GSE,1891,0,0,0,0,0,,regional;individual
BRB,1891,0,0,0,0,0,Estimated from canned production,individual;regional;local
KOD,1890,0,3593,0,0,0,,regional;individual
NSE,1890,0,636,2,0,0,,local
CHG,1890,0,453,0,0,0,,regional;local
PWS,1890,5,411,0,0,0,Includes Copper River catches,individual
SSE,1890,0,251,42,0,0,,local;individual;regional
GSE,1890,0,0,0,0,0,,local
BRB,1890,0,0,0,0,0,Estimated from canned production,individual;local
KOD,1889,0,3755,0,0,0,,individual;local;regional
CHG,1889,0,560,0,0,0,,individual
NSE,1889,0,557,0,0,0,,regional;individual
PWS,1889,0,243,0,0,0,Includes Copper River catches,regional
SSE,1889,0,182,11,92,0,,local;regional
GSE,1889,0,0,0,0,0,,regional;individual
BRB,1889,0,0,0,0,0,Estimated from canned production,local;regional;individual
KOD,1888,0,2781,0,0,0,,regional
SSE,1888,0,224,16,0,0,,local;regional;individual
NSE,1888,0,212,0,0,,,regional
CHG,1888,0,13,0,0,0,,individual
GSE,1888,0,0,0,0,0,,individual;local;regional
BRB,1888,0,0,0,0,0,Estimated from canned production,regional;local;individual
KOD,1887,0,1005,0,0,0,,individual;local
SSE,1887,0,155,0,0,0,,regional;individual;local
NSE,1887,0,143,0,0,,,individual;regional
GSE,1887,0,0,0,0,0,,individual;regional;local
BRB,1887,0,0,,,0,Estimated from canned production,local
KOD,1886,0,646,0,0,0,,regional;local
NSE,1886,0,113,0,0,0,,individual
SSE,1886,0,5,0,0,0,,individual;local;regional
GSE,1886,0,0,0,0,0,,regional;individual
BRB,1886,0,0,0,0,0,Estimated from canned production,regional;local;individual
KOD,1885,0,469,0,0,0,,regional;local;individual
NSE,1885,0,26,0,0,0,,individual;local;regional
GSE,1885,0,0,0,0,0,,individual
BRB,1885,0,0,0,0,0,Estimated from canned production,individual
KOD,1884,0,282,0,0,0,,local;regional
NSE,1884,0,143,0,0,0,,individual;regional;local
GSE,1884,0,0,0,0,0,,individual;regional;local
BRB,1884,0,0,0,0,0,Estimated from canned production,local;regional
KOD,1883,0,189,0,0,0,,regional;local
NSE,1883,0,108,0,0,0,,individual
GSE,1883,0,0,0,0,0,,local
KOD,1882,0,59,0,0,0,,regional;local;individual
GSE,1882,0,0,0,0,0,"Estimated from canned production, probably sockeye",INDIVIDUAL
GSE,1881,0,0,0,0,0,"Estimated from canned production, probably sockeye",local;individual
GSE,1880,0,0,0,0,0,"Estimated from canned production, probably sockeye",local
GSE,1879,0,0,0,0,0,"Estimated from canned production, probably sockeye",local;regional;individual
GSE,1878,0,0,0,0,0,"Estimated from canned production, probably sockeye",individ
